Question, Answer, Guess, Label
sufficient, enough, valuable, wrong
percentage, proportion, profit, wrong
arranged, planned, planned, correct
issues, subjects, benefits, wrong
command, mastery, observation, wrong
spot, location, location, correct
easygoing, relaxed, relaxed, correct
narrow, thin, clear, wrong
showed, demonstrated, repeated, wrong
unlikely, improbable, improbable, correct
salutes, greetings, ceremonies, wrong
provisions, stipulations, jurisdictions, wrong
fanciful, imaginative, imaginative, correct
hailed, acclaimed, addressed, wrong
debate, argument, election, wrong
perilous, dangerous, binding, wrong
figure, solve, list, wrong
prospective, potential, prominent, wrong
hind, rear, rear, correct
flawed, imperfect, imperfect, correct
