Question,answer,0,1,2,3
sufficient,enough,recent,physiological,enough,valuable
percentage,proportion,volume,sample,proportion,profit
arranged,planned,planned,explained,studied,discarded
issues,subjects,training,salaries,subjects,benefits
command,mastery,observation,love,awareness,mastery
spot,location,climate,latitude,sea,location
easygoing,relaxed,frontier,boring,farming,relaxed
narrow,thin,clear,freezing,thin,poisonous
showed,demonstrated,demonstrated,published,repeated,postponed
unlikely,improbable,improbable,disagreeable,different,unpopular
salutes,greetings,information,ceremonies,greetings,privileges
provisions,stipulations,stipulations,interrelations,jurisdictions,interpretations
fanciful,imaginative,familiar,imaginative,apparent,logical
hailed,acclaimed,judged,acclaimed,remembered,addressed
debate,argument,war,argument,election,competition
perilous,dangerous,binding,exciting,offensive,dangerous
figure,solve,list,solve,divide,express
prospective,potential,particular,prudent,potential,prominent
hind,rear,curved,muscular,hairy,rear
flawed,imperfect,tiny,imperfect,lustrous,crude
